Designator,Qty,Value,Package/Footprint,Type,Manufacturer Part Number,BOM Notes,Notes,,,
"C1, C12, C13, C2, C20, C21, C22, C23, C24, C29, C3, C30, C31, C4, C5, C7",16,1æf,C_0805_2012Metric,SMD,KGM21AR71H105KU,Exact Part Not Required,,,,
"C10, C17, C18, C11, C16, C19, C6",7,470æf,CP_Radial_Flat_D8.0mm_P3.50mm,THT,UHV1C471MPD ,Exact Part Not Required,"Lay Flat, Not Vertical for pin headder clearence.",,,
"C101, C201",2,100æf,C_1210_3225Metric,SMD,EMK325ABJ107MM-T,Exact Part Not Required,,,,
"C102, C110, C117, C202, C210, C217",6,10æf,C_1210_3225Metric,SMD,CA45-A-16V-10?F-K?C185774),Exact Part Not Required,,,,
"C103, C112, C113, C115, C120, C122, C123, C124, C125, C126, C14, C15, C203, C212, C213, C215, C220, C222, C223, C224, C225, C226, C26, C9",24,100nf,C_0805_2012Metric,SMD,C0805C104K4RACTU,Exact Part Not Required,,,,
"C104, C111, C114, C116, C121, C128, C204, C211, C214, C216, C221, C228, C27",13,1nf,C_0805_2012Metric,SMD,C0805C102J5GACTU,Exact Part Not Required,,,,
"C105, C205",2,470nf,C_1206_3216Metric,SMD,CC1206KKX7R9BB474,Exact Part Not Required,,,,
"C106, C107, C206, C207",4,1pf,C_0805_2012Metric,SMD,C0805C109C2GACTU,Exact Part Not Required,DNP,,,
"C108, C109, C208, C209",4,82pf,C_0805_2012Metric,SMD,C0805C820J5GACTU,Exact Part Not Required,,,,
"C118, C119, C218, C219",4,15pf,C_0805_2012Metric,SMD,C0805X150J5GACTU,Exact Part Not Required,,,,
"C127, C227, C25, C28, C8",5,10æf,C_0805_2012Metric,SMD,C0805C106J8RACAUTO,Exact Part Not Required,,,,
"D1, D2",2,LED,LED_0805_2012Metric,SMD,"APT2012SECK/J4-PRV
",Exact Part Not Required,,,,
J1,1,SMA Vertical,SMA_Vertical,THT,BWSMA-KE-Z001,Exact Part Not Required,https://m.tb.cn/h.5G8UUMPs4BD5jl0?tk=fbloW9FPomB,,,
"J101, J201",2,BNC,BNC Socket Right-Angle DOSIN,THT,DOSIN-801-0050_C521210,Exact Part Not Required,,,,
J2,1,Conn_01x08_Socket,PinHeader_1x08_P2.54mm_Vertical,THT,61300811121,Exact Part Not Required,,,,
J3,1,GPIFII_J6,PinHeader_2x20_P2.54mm_Vertical,THT,61302021121,Exact Part Not Required,Ensure 2x20 2.54mm headder,,,
J4,1,GPIFII_J7,PinHeader_2x20_P2.54mm_Vertical,THT,61302021121,Exact Part Not Required,Ensure 2x20 2.54mm headder,,,
"L1, L2",2,100æ,L_Bourns-SRU8043,SMD,SRU8043-101Y,Exact Part Not Required,,,,
Q1,1,Bipolar (BJT) Single Transistor,SOT-223-3_TabPin2,SMD,FZT690B,Use Exact Value Yes,,,,
"Q101, Q102, Q201, Q202",4,Bipolar Transistor  ,SOT-23-3,SMD,CMPT5179-TR-PBFREE,Use Exact Value Yes,,,,
Q2,1,Bipolar (BJT) Transistor PNP,SOT-223-3_TabPin2,SMD,"FZT790A
",Use Exact Value Yes,,,,
"R1, R123, R126, R223, R226",5,10kohm,R_0805_2012Metric,SMD,SDR10EZPF1002,Exact Part Not Required,,,,
"R101, R102, R107, R201, R202, R207",6,75ohm,R_0805_2012Metric,SMD,CRCW080575R0FKEAHP,Exact Part Not Required,,,,
"R103, R203",2,150ohm,R_0805_2012Metric,SMD,AC0805FR-7W150RL,Exact Part Not Required,,,,
"R104, R105, R111, R118, R204, R205, R211, R218, R4, R5",10,1kohm,R_0805_2012Metric,SMD,RCC08051K00FKEA,Exact Part Not Required,,,,
"R106, R108, R206, R208",4,39ohm,R_0805_2012Metric,SMD,WF08P39R0FTL,Exact Part Not Required,,,,
"R109, R110, R209, R210",4,499ohm,R_0805_2012Metric,SMD,MCU0805PD4990DP500,Exact Part Not Required,,,,
"R112, R117, R212, R217",4,2k49,R_0805_2012Metric,SMD,ERA6AEB2491V,Exact Part Not Required,,,,
"R113, R116, R124, R213, R216, R224",6,4k99,R_0805_2012Metric,SMD,CRCW08054K99FKEAHP,Exact Part Not Required,,,,
"R114, R115, R214, R215",4,6k49,R_0805_2012Metric,SMD,ERJ-PB6B6491V,Exact Part Not Required,,,,
"R119, R120, R219, R220",4,39ohm,R_0805_2012Metric,SMD,WF08P39R0FTL,Exact Part Not Required,,,,
"R121, R122, R221, R222",4,22ohm,R_0805_2012Metric,SMD,755-SDR10EZPF22R0,Exact Part Not Required,,,,
