pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type,place
151.765,-66.802,-90.0,top,C1,,,C_0805_2012Metric,1µ,smt,True
172.24,-82.801,0.0,top,C10,,,CP_Radial_Flat_D8.0mm_P3.50mm,470µ,tht,True
81.28,-110.49,90.0,top,C101,,,C_1210_3225Metric,100µ,smt,True
110.363,-117.983,-90.0,bottom,C102,,,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,10µ,smt,True
107.442,-115.697,90.0,bottom,C103,,,C_0805_2012Metric,100n,smt,True
105.41,-115.697,90.0,bottom,C104,,,C_0805_2012Metric,1n,smt,True
97.79,-110.49,-90.0,top,C105,,,C_1206_3216Metric,470n,smt,True
101.854,-113.792,0.0,top,C106,,,C_0805_2012Metric,1p,smt,True
101.854,-125.984,0.0,top,C107,,,C_0805_2012Metric,1p,smt,True
111.252,-116.84,-90.0,top,C108,,,C_0805_2012Metric,82p,smt,True
111.252,-120.65,-90.0,top,C109,,,C_0805_2012Metric,82p,smt,True
186.564651,-82.804,180.0,top,C11,,,CP_Radial_FlatB_D8.0mm_P3.50mm,470µ,tht,True
126.492,-117.856,0.0,bottom,C110,,,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,10µ,smt,True
120.396,-120.142,90.0,bottom,C111,,,C_0805_2012Metric,1n,smt,True
118.11,-120.142,90.0,bottom,C112,,,C_0805_2012Metric,100n,smt,True
118.11,-113.03,-90.0,bottom,C113,,,C_0805_2012Metric,100n,smt,True
120.396,-113.03,-90.0,bottom,C114,,,C_0805_2012Metric,1n,smt,True
127.254,-113.03,0.0,bottom,C115,,,C_0805_2012Metric,100n,smt,True
127.254,-115.062,0.0,bottom,C116,,,C_0805_2012Metric,1n,smt,True
115.062,-116.078,90.0,bottom,C117,,,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,10µ,smt,True
117.348,-116.84,-90.0,top,C118,,,C_0805_2012Metric,15p,smt,True
117.348,-120.65,-90.0,top,C119,,,C_0805_2012Metric,15p,smt,True
173.609,-84.963,0.0,bottom,C12,,,C_0805_2012Metric,1µ,smt,True
120.396,-116.586,90.0,bottom,C120,,,C_0805_2012Metric,100n,smt,True
118.11,-116.586,90.0,bottom,C121,,,C_0805_2012Metric,1n,smt,True
100.965,-117.856,0.0,bottom,C122,,,C_0805_2012Metric,100n,smt,True
105.664,-122.682,-90.0,bottom,C123,,,C_0805_2012Metric,100n,smt,True
121.412,-120.904,90.0,top,C124,,,C_0805_2012Metric,100n,smt,True
120.142,-116.332,-90.0,top,C125,,,C_0805_2012Metric,100n,smt,True
132.207,-117.094,-90.0,bottom,C126,,,C_0805_2012Metric,100n,smt,True
80.518,-117.983,90.0,top,C127,,,C_0805_2012Metric,10µ,smt,True
82.677,-117.983,90.0,top,C128,,,C_0805_2012Metric,1n,smt,True
184.531,-84.836,0.0,bottom,C13,,,C_0805_2012Metric,1µ,smt,True
174.752,-98.552,0.0,bottom,C14,,,C_0805_2012Metric,100n,smt,True
185.928,-98.425,0.0,bottom,C15,,,C_0805_2012Metric,100n,smt,True
173.609,-100.584,180.0,top,C16,,,CP_Radial_FlatB_D8.0mm_P3.50mm,470µ,tht,True
180.721,-100.584,0.0,top,C17,,,CP_Radial_Flat_D8.0mm_P3.50mm,470µ,tht,True
167.259,-118.364,0.0,top,C18,,,CP_Radial_Flat_D8.0mm_P3.50mm,470µ,tht,True
181.554,-118.364,180.0,top,C19,,,CP_Radial_FlatB_D8.0mm_P3.50mm,470µ,tht,True
151.003,-81.219,-90.0,top,C2,,,C_0805_2012Metric,1µ,smt,True
169.418,-97.536,-90.0,bottom,C20,,,C_0805_2012Metric,1µ,smt,True
81.267,-76.073,90.0,top,C201,,,C_1210_3225Metric,100µ,smt,True
110.871,-80.365,90.0,bottom,C202,,,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,10µ,smt,True
108.204,-81.153,90.0,bottom,C203,,,C_0805_2012Metric,100n,smt,True
106.172,-81.153,90.0,bottom,C204,,,C_0805_2012Metric,1n,smt,True
97.777,-76.073,-90.0,top,C205,,,C_1206_3216Metric,470n,smt,True
101.841,-79.375,0.0,top,C206,,,C_0805_2012Metric,1p,smt,True
101.841,-91.567,0.0,top,C207,,,C_0805_2012Metric,1p,smt,True
111.239,-82.423,-90.0,top,C208,,,C_0805_2012Metric,82p,smt,True
111.239,-86.233,-90.0,top,C209,,,C_0805_2012Metric,82p,smt,True
180.467,-97.536,-90.0,bottom,C21,,,C_0805_2012Metric,1µ,smt,True
126.479,-83.439,0.0,bottom,C210,,,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,10µ,smt,True
120.383,-85.725,90.0,bottom,C211,,,C_0805_2012Metric,1n,smt,True
118.097,-85.725,90.0,bottom,C212,,,C_0805_2012Metric,100n,smt,True
118.097,-78.613,-90.0,bottom,C213,,,C_0805_2012Metric,100n,smt,True
120.383,-78.613,-90.0,bottom,C214,,,C_0805_2012Metric,1n,smt,True
127.241,-78.613,0.0,bottom,C215,,,C_0805_2012Metric,100n,smt,True
127.241,-80.645,0.0,bottom,C216,,,C_0805_2012Metric,1n,smt,True
115.049,-81.661,90.0,bottom,C217,,,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,10µ,smt,True
117.335,-82.423,-90.0,top,C218,,,C_0805_2012Metric,15p,smt,True
117.335,-86.233,-90.0,top,C219,,,C_0805_2012Metric,15p,smt,True
108.839,-108.839,90.0,bottom,C22,,,C_0805_2012Metric,1µ,smt,True
120.383,-82.169,90.0,bottom,C220,,,C_0805_2012Metric,100n,smt,True
118.097,-82.169,90.0,bottom,C221,,,C_0805_2012Metric,1n,smt,True
101.092,-83.439,0.0,bottom,C222,,,C_0805_2012Metric,100n,smt,True
105.537,-85.725,-90.0,bottom,C223,,,C_0805_2012Metric,100n,smt,True
121.399,-86.487,90.0,top,C224,,,C_0805_2012Metric,100n,smt,True
120.129,-81.915,-90.0,top,C225,,,C_0805_2012Metric,100n,smt,True
132.207,-82.55,-90.0,bottom,C226,,,C_0805_2012Metric,100n,smt,True
80.391,-83.5,90.0,top,C227,,,C_0805_2012Metric,10µ,smt,True
82.55,-83.5,90.0,top,C228,,,C_0805_2012Metric,1n,smt,True
110.49,-97.663,-90.0,bottom,C23,,,C_0805_2012Metric,1µ,smt,True
108.331,-97.663,90.0,bottom,C24,,,C_0805_2012Metric,1µ,smt,True
116.078,-104.775,90.0,bottom,C25,,,C_0805_2012Metric,10µ,smt,True
113.792,-104.775,90.0,bottom,C26,,,C_0805_2012Metric,100n,smt,True
181.483,-70.8,-90.0,bottom,C27,,,C_0805_2012Metric,1n,smt,True
183.642,-70.8,-90.0,bottom,C28,,,C_0805_2012Metric,10µ,smt,True
73.025,-91.313,180.0,bottom,C29,,,C_0805_2012Metric,1µ,smt,True
151.765,-109.474,-90.0,top,C3,,,C_0805_2012Metric,1µ,smt,True
82.677,-124.841,0.0,bottom,C30,,,C_0805_2012Metric,1µ,smt,True
147.447,-93.284,90.0,bottom,C31,,,C_0805_2012Metric,1µ,smt,True
151.003,-123.825,-90.0,top,C4,,,C_0805_2012Metric,1µ,smt,True
149.606,-99.441,-90.0,bottom,C5,,,C_0805_2012Metric,1µ,smt,True
195.962651,-74.93,180.0,top,C6,,,CP_Radial_FlatB_D8.0mm_P3.50mm,470µ,tht,True
195.961,-77.597,-90.0,bottom,C7,,,C_0805_2012Metric,1µ,smt,True
175.8315,-75.311,-90.0,bottom,C8,,,C_0805_2012Metric,10µ,smt,True
177.9905,-75.311,-90.0,bottom,C9,,,C_0805_2012Metric,100n,smt,True
144.009,-106.299,0.0,top,D1,,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED,smt,True
144.009,-94.742,0.0,top,D2,,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED,smt,True
64.262,-66.929,0.0,top,H1,,,MountingHole_3.2mm_M3,MountingHole,tht,True
64.262,-132.207,0.0,top,H2,,,MountingHole_3.2mm_M3,MountingHole,tht,True
203.073,-132.207,0.0,top,H3,,,MountingHole_3.2mm_M3,MountingHole,tht,True
203.073,-66.929,0.0,top,H4,,,MountingHole_3.2mm_M3,MountingHole,tht,True
124.46,-94.234,0.0,top,J1,,,SMA_Amphenol_901-144_Vertical,Conn_01x01_Shielded,tht,True
133.35,-107.442,180.0,top,J2,,,PinHeader_1x08_P2.54mm_Vertical,Conn_01x08_Socket,tht,True
68.64,-77.55,0.0,top,J201,,,BNC_Right_Angle-DOSIN-801-0050,DOSIN-801-0050,tht,True
68.645,-111.96,0.0,top,J201,,,BNC_Right_Angle-DOSIN-801-0050,DOSIN-801-0050,tht,True
201.803,-72.39,0.0,top,J3,,,PinHeader_2x20_P2.54mm_Vertical,GPIFII_J6,tht,True
159.8,-72.39,0.0,top,J4,,,PinHeader_2x20_P2.54mm_Vertical,GPIFII_J7,tht,True
172.339,-76.073,-90.0,top,L1,,,L_Bourns-SRU8043,100µ,smt,True
182.499,-75.983,-90.0,top,L2,,,L_Bourns-SRU8043,100µ,smt,True
171.704,-90.932,90.0,bottom,Q1,,,SOT-223-3_TabPin2,FZT690B,smt,True
92.837,-113.284,180.0,bottom,Q101,,,SOT-23-3,CMPT5179,smt,True
92.329,-109.3525,90.0,bottom,Q102,,,SOT-23-3,CMPT5179,smt,True
182.753,-90.932,90.0,bottom,Q2,,,SOT-223-3_TabPin2,FZT790A,smt,True
92.8425,-78.928,180.0,bottom,Q201,,,SOT-23-3,CMPT5179,smt,True
92.329,-75.057,90.0,bottom,Q202,,,SOT-23-3,CMPT5179,smt,True
136.652,-103.251,90.0,bottom,R1,,,R_0805_2012Metric,10k,smt,True
78.74,-106.68,0.0,top,R101,,,R_0805_2012Metric,75,smt,True
88.9,-102.87,90.0,top,R102,,,R_0805_2012Metric,75,smt,True
91.44,-102.87,90.0,top,R103,,,R_0805_2012Metric,150,smt,True
111.76,-113.538,90.0,bottom,R104,,,R_0805_2012Metric,1k,smt,True
109.601,-113.538,-90.0,bottom,R105,,,R_0805_2012Metric,1k,smt,True
95.758,-121.666,180.0,top,R106,,,R_0805_2012Metric,39,smt,True
95.758,-123.952,180.0,top,R107,,,R_0805_2012Metric,75,smt,True
95.758,-119.38,180.0,top,R108,,,R_0805_2012Metric,39,smt,True
98.044,-114.935,-90.0,top,R109,,,R_0805_2012Metric,499,smt,True
99.06,-120.396,-90.0,top,R110,,,R_0805_2012Metric,499,smt,True
101.854,-104.267,0.0,top,R111,,,R_0805_2012Metric,1k,smt,True
101.854,-106.807,0.0,top,R112,,,R_0805_2012Metric,2k49,smt,True
101.854,-109.347,0.0,top,R113,,,R_0805_2012Metric,4k99,smt,True
101.854,-111.506,0.0,top,R114,,,R_0805_2012Metric,6k49,smt,True
101.854,-123.952,0.0,top,R115,,,R_0805_2012Metric,6k49,smt,True
101.854,-128.016,0.0,top,R116,,,R_0805_2012Metric,4k99,smt,True
101.854,-130.556,0.0,top,R117,,,R_0805_2012Metric,2k49,smt,True
101.854,-133.096,0.0,top,R118,,,R_0805_2012Metric,1k,smt,True
108.204,-117.602,0.0,top,R119,,,R_0805_2012Metric,40,smt,True
108.204,-119.888,0.0,top,R120,,,R_0805_2012Metric,40,smt,True
114.3,-117.602,0.0,top,R121,,,R_0805_2012Metric,22,smt,True
